,Term,Interbank,Sov,LBPratespread,USDratespread,CDratespread,LBPdeprate,USDdeprate,EMP,Financialdoll,CA,FA,Rem,FApc,CApc,CAratio,rempc,Oil,Tadawol,gdp,gdp3,gdp6,gdp12,dep_sov_spread,M2resratio,portinflow,portoutflow,passenger inflow,passenger outflow,Construction permits ,Cement deliveries,portinflowpc,portoutflowpc,passengerinflowpc,passengeroutflowpc,Constructionpermitspc,Cementdeliveriespc,Dummy_variable2006
2004-11-30,2.67,3.5,5.039999999999999,3.620000000000001,4.809999999999999,-2.369999999999999,6.77,3.22,-1.081482350837225,0.7064513882062835,-284.23,246.04,308.71,-0.6058504077022893,-0.777231757974763,1.1932667396522532,0.1395297331217007,0.5112574524979325,0.8870705841347568,0.0714285714285714,-0.07999999999999996,0.042424242424242475,0.05454545454545445,-1.5499999999999998,2735.8989256741943,373248.1717869474,67702.58023074963,126919.99631783884,120748.17174666903,699066.7996490037,145184.02738149156,0.04874541279239941,0.48492340294026737,0.2174282729635837,0.259519545482616,0.23009564633635926,-0.21346996638391402,0
2004-12-31,2.67,3.75,4.88,3.4700000000000006,4.73,-2.6099999999999994,7.01,3.25,-0.8362279424599504,0.700070776546899,-302.66,-132.85,517.32,-1.3051918217321388,-0.583170362209062,1.1643087480049075,0.7892297582402381,0.3436778248794006,0.8315326633870923,0.04166666666666674,0.03105590062111796,0.035502958579881616,0.05142857142857138,-1.79,2736.2523699178428,302991.9199169086,62801.40239093506,119709.9444698441,117633.7197345633,720330.415968448,254996.049950936,-0.17531633069916042,0.4685640547709511,0.08295345489443373,0.010824442289039782,0.14043383381350427,-0.014127196189187452,0
2005-01-31,2.67,3.5,4.67,3.6099999999999994,4.81,-2.3499999999999996,6.75,3.29,-0.4751658897318086,0.6963706792161837,133.81,-546.27,312.65,-2.7843214110730035,-1.663674238666799,0.92628725988685,-0.026497695852534697,0.4258285826067507,0.7947450211486804,0.0235294117647058,0.0059880239520957446,0.03571428571428581,0.011494252873563315,-1.5300000000000002,2683.325097796994,461464.13829091215,77914.78675399555,174244.29572208945,155711.18344733462,840389.8621490037,240049.29300649156,0.2674099018566647,0.3930652266590877,0.2545919616860324,0.2042951117684213,-0.010608654172073684,-0.1040673361434803,0
2005-02-28,2.67,12.0,4.51,3.6499999999999995,4.65,-2.21,6.61,3.33,2.104596590788574,0.7309715547089066,-396.89,228.47,362.88,-0.31636744464392574,0.13432793163565693,1.3252077153766735,0.03319856500199303,0.4846890729014448,0.8450877243910582,-0.07999999999999996,0.042424242424242475,0.04069767441860472,0.12422360248447206,-1.3900000000000006,2648.3388780543764,267623.6210030568,64434.52004749187,112505.41395984596,130531.43724003866,658673.7892323369,196433.84508982487,-0.3498733129422691,0.08152075893662314,-0.19875186020834334,-0.08318787322002752,-0.09393117593816214,-0.31845356407891734,0
2005-03-31,3.46,9.0,4.949999999999999,3.0100000000000007,4.760000000000001,-3.5699999999999994,7.97,3.46,2.719334242610333,0.7919275688704404,-601.22,-1158.07,396.17,-6.480431593393592,0.4947912781880113,1.4526781815170087,0.11719917656016476,0.5925256256829154,1.0001451978662463,0.03105590062111796,0.035502958579881616,0.04705882352941182,0.12650602409638556,-2.75,2376.5507208041263,274643.7936434167,54443.823361206596,104075.88804409615,108631.15355821571,794988.9680517814,227281.8034231582,-0.27136813276651395,0.04111192111422324,-0.04596455507755626,0.013875796105120353,0.11531852069431481,0.24531967313484038,0
2005-04-30,3.46,7.0,5.029999999999999,2.889999999999999,4.53,-3.9800000000000004,8.38,3.54,-1.1065033380038882,0.7779913479138417,27.04,-201.21,327.84,-1.780488750969744,-1.0494477360836807,0.9839332612389927,0.06176118146192966,0.576974512807833,1.123418939529492,0.0059880239520957446,0.03571428571428581,-0.023391812865497075,0.125,-3.160000000000001,2377.812774501192,336340.48054171994,69574.3802145997,101583.05325573236,108500.04469270032,578295.6052045592,240155.1940481582,-0.12894255469162152,0.13902584295688425,-0.2244709138041694,-0.13212230925026425,-0.25486934753415336,0.15824970841521324,0
2005-05-31,3.46,4.0,5.039999999999999,2.6400000000000006,4.4399999999999995,-4.02,8.42,3.58,0.27790203822099735,0.7579528895421382,-112.32,305.83,356.08,0.08009888751545113,-0.6731272917757989,1.0685224839400427,0.1627861411357474,0.3111652906172582,1.0639448418705997,0.042424242424242475,0.04069767441860472,0.05454545454545445,0.12790697674418605,-3.2,2613.848110927363,268973.18018042383,64191.87936041293,129457.40875035174,118120.65150778444,837036.9124962258,250317.36939538043,-0.09312971824416527,0.3388514043621529,-0.05314216185997578,-0.11676372594361428,0.3633235474685679,0.276899011476442,0
2005-06-30,3.46,3.5,5.039999999999999,2.780000000000001,4.579999999999999,-3.789999999999999,8.19,3.62,-1.4033832307520542,0.7449887881000195,-323.01,769.29,338.01,1.7516900955038093,-0.6465200262639528,1.2039655226849366,0.10761215060458107,0.5474776496543217,1.3841760184046414,0.035502958579881616,0.04705882352941182,0.05142857142857138,0.0971428571428572,-2.9699999999999998,2593.3682581259673,275928.8017910608,59078.99117328821,143167.10051997265,127562.59798702691,655392.5392323369,262038.0829370471,-0.15453183965582473,0.05548444444444445,-0.0026628476806372925,0.007426321352076881,-0.17722916519552412,0.21184280898845675,0
2005-07-31,3.46,3.5,4.81,2.8499999999999996,4.35,-3.5,7.9,3.65,-0.5175830947992323,0.7394346892731695,45.84,754.37,341.74,1.0313711762171476,-1.095895569223045,0.9775651535543864,0.10299196333473204,0.5074682389632623,1.0961356568151102,0.03571428571428581,-0.023391812865497075,0.011494252873563315,-0.18965517241379315,-2.6800000000000006,2658.974567413773,270684.4383664952,56616.57781999203,143115.01442593435,133572.3794360634,760263.9729581823,260073.698803593,-0.21195767507663288,-0.14750266303704573,-0.026171618470868685,-0.046131735062075685,-0.11738838047597477,0.1560747634462465,0
2005-08-31,3.46,4.0,4.64,2.8199999999999994,4.43,-3.3099999999999996,7.71,3.72,-0.6286691381415088,0.7335304760306178,-290.07,128.88,335.72,-0.7401508125327634,-0.5306614458611093,1.156784745268028,0.012852229529958459,0.5145485291866898,1.269058661721643,0.04069767441860472,0.05454545454545445,0.12422360248447206,-0.3296089385474861,-2.49,2620.1374647887324,320992.6816922961,60643.92030702763,148644.7164955071,150294.9329915398,865689.5079823369,337408.6784231582,-0.02464149544920624,0.041407974613686616,0.01501432539422165,-0.04106300506884597,0.17904001603149178,0.3160507903682619,0
2005-09-30,3.46,4.0,4.7299999999999995,3.079999999999999,4.530000000000001,-3.21,7.61,3.78,0.8710534232173623,0.7332548094354414,-379.66,1007.74,339.17,-13.209110734189483,0.3122947703155785,1.2285415023807662,0.1357913066773826,0.46046487223883603,1.2951848248166553,0.04705882352941182,0.05142857142857138,0.12650602409638556,-0.1179775280898876,-2.3900000000000006,2768.2525300070606,328240.1223882352,67901.43755841244,134043.44273856943,153566.3559385454,856873.3986073369,297317.6541176027,-0.13935264145454151,0.11892916370528317,0.009477126552631887,0.012029250277955983,-0.07630104498643209,0.10975177841101336,0
2005-10-31,3.46,3.75,4.41,2.9699999999999998,4.360000000000001,-3.13,7.53,3.86,-2.4540083128568893,0.7350811324515295,-472.61,1141.32,364.01,2.941974924878251,-2.046338115479986,1.2997748247756176,-0.7522764083788162,0.1844206575646734,1.1788418207078988,-0.023391812865497075,0.011494252873563315,0.125,-0.017964071856287456,-2.3100000000000005,2502.4718864950078,364429.371801881,68890.64054456537,105833.13042622343,105635.22052436142,826147.228468448,218933.30342315818,0.07416975021791705,0.16966288681970454,-0.031716968272859525,-0.10698165090016087,0.10440517259839588,-0.010570685819304426,0
2005-11-30,3.46,3.75,4.26,2.59,4.38,-3.1999999999999993,7.6,3.96,0.09051327960578008,0.7260145182866216,-245.77,-1030.83,368.47,-5.189684604129409,-0.1353129507792985,1.163312225492867,0.19357973502640036,0.26745768699284134,1.0489144548016505,0.05454545454545445,0.12422360248447206,0.12790697674418605,0.04022988505747116,-2.38,2546.6779267391535,343294.7298136034,66446.55495755243,132760.34735467433,138991.17832757384,764836.7996490037,197074.02738149156,-0.08025073995658216,-0.01855210346365399,0.0460160038313413,0.15108308736283682,0.09408256840837326,0.35740846245883295,0
